"Date","Price","Open","High","Low","Vol.","Change %"
"08/16/2021","2.0729","2.1669","2.1963","2.0485","509.15M","-4.38%"
"08/15/2021","2.1679","2.1888","2.2493","2.0321","718.04M","-0.96%"
"08/14/2021","2.1889","2.1370","2.2510","2.0890","1.05B","2.43%"
"08/13/2021","2.1370","1.8288","2.1475","1.8233","994.02M","16.85%"
"08/12/2021","1.8288","1.7976","1.8669","1.6808","69.99M","1.72%"
"08/11/2021","1.7979","1.6776","1.8917","1.6703","810.29M","7.22%"
"08/10/2021","1.6768","1.4754","1.6994","1.4576","558.57M","13.67%"
"08/09/2021","1.4752","1.4262","1.4987","1.3947","322.95M","3.42%"
"08/08/2021","1.4264","1.4735","1.4943","1.4077","337.15M","-3.24%"
"08/07/2021","1.4741","1.4011","1.4846","1.3958","396.61M","5.21%"
"08/06/2021","1.4011","1.3859","1.4243","1.3622","272.05M","1.10%"
"08/05/2021","1.3859","1.3759","1.3972","1.3390","259.90M","0.72%"
"08/04/2021","1.3759","1.3648","1.3930","1.3237","325.17M","0.81%"
"08/03/2021","1.3648","1.3086","1.3822","1.2626","","4.29%"
"08/02/2021","1.3086","1.3143","1.3485","1.2961","231.98M","-0.58%"
"08/01/2021","1.3163","1.3178","1.3868","1.2996","328.16M","-0.02%"
"07/31/2021","1.3166","1.3104","1.3321","1.2896","222.18M","0.56%"
"07/30/2021","1.3093","1.2837","1.3172","1.2491","280.49M","2.03%"
"07/29/2021","1.2832","1.2859","1.2986","1.2588","95.20M","-0.21%"
"07/28/2021","1.2859","1.2804","1.3169","1.2586","340.48M","0.43%"
"07/27/2021","1.2805","1.2552","1.3151","1.2150","418.43M","2.01%"
"07/26/2021","1.2552","1.2282","1.3974","1.2226","596.83M","2.20%"
"07/25/2021","1.2281","1.2160","1.2361","1.1912","181.71M","1.08%"
"07/24/2021","1.2150","1.2053","1.2237","1.1978","221.74M","0.80%"
"07/23/2021","1.2054","1.1856","1.2067","1.1470","91.89M","1.65%"
"07/22/2021","1.1859","1.1697","1.2051","1.1503","298.36M","1.38%"
"07/21/2021","1.1697","1.0545","1.2211","1.0372","464.72M","10.92%"
"07/20/2021","1.0545","1.1223","1.1341","1.0211","412.27M","-5.95%"
"07/19/2021","1.1212","1.1823","1.1909","1.1167","218.34M","-5.17%"
"07/18/2021","1.1823","1.1713","1.2181","1.1682","185.35M","0.94%"
"07/17/2021","1.1713","1.1716","1.1943","1.1507","219.88M","-0.03%"
"07/16/2021","1.1716","1.2253","1.2435","1.1660","252.66M","-4.36%"
"07/15/2021","1.2250","1.2631","1.2886","1.2060","235.34M","-3.02%"
"07/14/2021","1.2631","1.2650","1.2887","1.1991","263.35M","-0.14%"
"07/13/2021","1.2649","1.3147","1.3207","1.2507","206.08M","-3.79%"
"07/12/2021","1.3147","1.3479","1.3731","1.2922","","-2.46%"
"07/11/2021","1.3479","1.3353","1.3663","1.3232","128.62M","0.92%"
"07/10/2021","1.3357","1.3496","1.3654","1.3183","158.19M","-1.02%"
"07/09/2021","1.3495","1.3324","1.3721","1.2903","256.51M","1.28%"
"07/08/2021","1.3324","1.4038","1.4060","1.3294","243.36M","-5.09%"
"07/07/2021","1.4038","1.4163","1.4401","1.4002","214.64M","-0.88%"
"07/06/2021","1.4163","1.4040","1.4566","1.3924","231.11M","0.87%"
"07/05/2021","1.4041","1.4613","1.4614","1.3784","295.33M","-3.94%"
"07/04/2021","1.4616","1.4209","1.4943","1.4207","291.73M","2.86%"
"07/03/2021","1.4209","1.3955","1.4407","1.3588","337.75M","1.82%"
"07/02/2021","1.3955","1.3330","1.3956","1.2861","374.91M","4.69%"
"07/01/2021","1.3330","1.3838","1.3840","1.3037","356.70M","-3.67%"
"06/30/2021","1.3838","1.3712","1.3984","1.2865","472.70M","0.92%"
"06/29/2021","1.3712","1.3260","1.4196","1.3195","466.56M","3.51%"
"06/28/2021","1.3247","1.3363","1.3491","1.3044","403.52M","-0.81%"
"06/27/2021","1.3355","1.2517","1.3478","1.2413","429.63M","6.70%"
"06/26/2021","1.2517","1.2547","1.2910","1.1985","634.25M","-0.24%"
"06/25/2021","1.2547","1.3570","1.3958","1.2449","943.95M","-7.54%"
"06/24/2021","1.3570","1.2506","1.3973","1.2029","446.00M","8.51%"
"06/23/2021","1.2506","1.1520","1.3065","1.1100","963.81M","8.56%"
"06/22/2021","1.1520","1.1757","1.2625","1.0010","462.25M","-2.02%"
"06/21/2021","1.1757","1.4269","1.4269","1.1680","841.29M","-17.60%"
"06/20/2021","1.4269","1.3856","1.4269","1.3066","436.50M","2.98%"
"06/19/2021","1.3855","1.4127","1.4405","1.3838","323.50M","-1.94%"
"06/18/2021","1.4129","1.4809","1.4926","1.3756","386.36M","-4.60%"
"06/17/2021","1.4810","1.4843","1.5380","1.4580","311.28M","-0.16%"
"06/16/2021","1.4833","1.5564","1.5747","1.4746","385.43M","-4.70%"
"06/15/2021","1.5565","1.5757","1.6104","1.5448","382.73M","-1.23%"
"06/14/2021","1.5758","1.5585","1.5934","1.5087","495.19M","1.10%"
"06/13/2021","1.5586","1.4773","1.5791","1.4008","594.54M","5.52%"
"06/12/2021","1.4772","1.4362","1.4923","1.3578","566.56M","2.87%"
"06/11/2021","1.4360","1.5315","1.5451","1.4193","442.16M","-6.24%"
"06/10/2021","1.5315","1.6249","1.6362","1.5085","420.71M","-5.74%"
"06/09/2021","1.6248","1.5821","1.6329","1.4840","615.75M","2.50%"
"06/08/2021","1.5851","1.5652","1.5946","1.4023","779.94M","1.33%"
"06/07/2021","1.5644","1.6753","1.7409","1.5529","65.27M","-6.63%"
"06/06/2021","1.6755","1.6580","1.7050","1.6463","275.21M","1.05%"
"06/05/2021","1.6581","1.7091","1.7818","1.6115","473.63M","-2.98%"
"06/04/2021","1.7090","1.8443","1.8475","1.6119","777.49M","-7.35%"
"06/03/2021","1.8445","1.7531","1.8882","1.7171","550.63M","5.22%"
"06/02/2021","1.7531","1.7352","1.8025","1.7192","512.66M","1.03%"
"06/01/2021","1.7352","1.7399","1.7779","1.6570","688.49M","-0.28%"
"05/31/2021","1.7400","1.5757","1.7490","1.5280","694.83M","10.42%"
"05/30/2021","1.5758","1.4015","1.6874","1.3517","954.14M","12.44%"
"05/29/2021","1.4014","1.5123","1.5594","1.3354","709.80M","-7.33%"
"05/28/2021","1.5122","1.6452","1.6753","1.4525","1.01B","-8.08%"
"05/27/2021","1.6452","1.7781","1.7837","1.6100","699.09M","-7.47%"
"05/26/2021","1.7780","1.5520","1.8280","1.5520","1.09B","14.56%"
"05/25/2021","1.5521","1.5475","1.6484","1.4375","1.05B","0.31%"
"05/24/2021","1.5473","1.3150","1.5957","1.2663","1.36B","17.65%"
"05/23/2021","1.3152","1.4630","1.5371","1.0526","1.89B","-10.11%"
"05/22/2021","1.4631","1.5476","1.5975","1.3689","1.11B","-5.46%"
"05/21/2021","1.5476","1.8033","1.8661","1.3247","1.51B","-14.18%"
"05/20/2021","1.8033","1.4718","1.9394","1.3324","1.82B","22.53%"
"05/19/2021","1.4717","2.0055","2.0269","1.0231","2.94B","-26.62%"
"05/18/2021","2.0057","2.0313","2.1462","1.9729","798.42M","-1.27%"
"05/17/2021","2.0314","2.3003","2.3259","1.9215","1.49B","-11.69%"
"05/16/2021","2.3003","2.1721","2.4601","2.0167","1.53B","5.91%"
"05/15/2021","2.1720","2.0058","2.3727","1.9712","1.83B","8.30%"
"05/14/2021","2.0056","1.9291","2.0392","1.8123","935.48M","3.94%"
"05/13/2021","1.9295","1.5676","1.9697","1.5004","2.05B","23.08%"
"05/12/2021","1.5677","1.7632","1.8192","1.5498","805.11M","-11.10%"
"05/11/2021","1.7635","1.6427","1.7779","1.5980","736.26M","7.33%"
"05/10/2021","1.6431","1.7714","1.8226","1.5258","990.41M","-7.17%"
"05/09/2021","1.7699","1.6207","1.8292","1.5765","882.67M","9.21%"
"05/08/2021","1.6207","1.6533","1.6533","1.5623","560.14M","-1.97%"
"05/07/2021","1.6532","1.6477","1.7450","1.5287","1.04B","0.32%"
"05/06/2021","1.6478","1.4781","1.6996","1.4292","1.73B","11.49%"
"05/05/2021","1.4780","1.2900","1.4931","1.2900","783.15M","14.66%"
"05/04/2021","1.2890","1.2793","1.3074","1.2757","585.18M","-5.37%"
"05/03/2021","1.3622","1.3267","1.3799","1.3215","390.15M","2.68%"
"05/02/2021","1.3266","1.3514","1.3546","1.2952","325.32M","-1.87%"
"05/01/2021","1.3518","1.3521","1.3676","1.3168","317.78M","-0.02%"
"04/30/2021","1.3521","1.3069","1.3699","1.2876","459.62M","3.45%"
"04/29/2021","1.3070","1.3369","1.4103","1.2681","817.53M","-2.24%"
"04/28/2021","1.3369","1.3075","1.3485","1.2350","575.49M","2.21%"
"04/27/2021","1.3079","1.2348","1.3326","1.2263","579.44M","5.95%"
"04/26/2021","1.2345","1.0901","1.2499","1.0820","713.34M","13.27%"
"04/25/2021","1.0899","1.1027","1.1460","1.0204","505.26M","-1.11%"
"04/24/2021","1.1021","1.1567","1.1961","1.0960","813.89M","-4.73%"
"04/23/2021","1.1568","1.1462","1.1660","0.9438","1.55B","0.92%"
"04/22/2021","1.1463","1.2044","1.2787","1.1181","812.88M","-4.83%"
"04/21/2021","1.2045","1.2674","1.2864","1.1989","611.42M","-4.96%"
"04/20/2021","1.2674","1.1959","1.2811","1.1300","794.19M","5.98%"
"04/19/2021","1.1959","1.2769","1.3231","1.1724","1.02B","-6.35%"
"04/18/2021","1.2769","1.3708","1.3813","1.0791","1.43B","-6.85%"
"04/17/2021","1.3709","1.4108","1.4568","1.3589","603.76M","-2.84%"
"04/16/2021","1.4109","1.4787","1.5180","1.3360","901.35M","-4.58%"
"04/15/2021","1.4787","1.4518","1.4919","1.4122","794.86M","1.86%"
"04/14/2021","1.4517","1.4124","1.5566","1.3547","1.61B","2.78%"
"04/13/2021","1.4124","1.3154","1.4367","1.2831","208.73M","7.36%"
"04/12/2021","1.3155","1.2633","1.3494","1.2633","873.74M","4.15%"
"04/11/2021","1.2631","1.2179","1.2898","1.1999","667.69M","3.71%"
"04/10/2021","1.2179","1.2021","1.2509","1.1949","432.91M","1.33%"
"04/09/2021","1.2019","1.2187","1.2289","1.1926","277.94M","-1.39%"
"04/08/2021","1.2189","1.1724","1.2242","1.1705","394.52M","3.82%"
"04/07/2021","1.1740","1.2519","1.2891","1.1601","742.13M","-6.22%"
"04/06/2021","1.2519","1.2117","1.3370","1.1917","1.11B","3.32%"
"04/05/2021","1.2117","1.1820","1.2251","1.1624","484.02M","2.51%"
"04/04/2021","1.1819","1.1633","1.1927","1.1534","370.27M","1.60%"
"04/03/2021","1.1633","1.1903","1.2406","1.1600","531.51M","-2.26%"
"04/02/2021","1.1903","1.1828","1.2438","1.1813","431.79M","0.63%"
"04/01/2021","1.1828","1.1915","1.2075","1.1730","367.82M","-0.72%"
"03/31/2021","1.1913","1.2128","1.2128","1.1565","466.52M","-1.76%"
"03/30/2021","1.2126","1.2027","1.2344","1.1900","397.50M","0.82%"
"03/29/2021","1.2028","1.1897","1.2292","1.1789","401.46M","1.12%"
"03/28/2021","1.1895","1.1767","1.2191","1.1674","394.82M","1.08%"
"03/27/2021","1.1768","1.2145","1.2370","1.1577","474.01M","-3.10%"
"03/26/2021","1.2145","1.0964","1.2856","1.0955","1.05B","10.76%"
"03/25/2021","1.0964","1.0677","1.1472","1.0485","699.56M","2.45%"
"03/24/2021","1.0702","1.1151","1.1635","1.0401","499.18M","-4.14%"
"03/23/2021","1.1163","1.1030","1.1728","1.0820","562.87M","1.17%"
"03/22/2021","1.1035","1.1862","1.2076","1.0800","611.13M","-7.02%"
"03/21/2021","1.1868","1.2005","1.2411","1.1608","514.59M","-1.13%"
"03/20/2021","1.2004","1.2958","1.3081","1.2003","658.17M","-7.37%"
"03/19/2021","1.2959","1.2313","1.3419","1.1835","1.26B","5.26%"
"03/18/2021","1.2312","1.3776","1.4719","1.2247","2.04B","-10.61%"
"03/17/2021","1.3774","1.2493","1.4283","1.2045","1.64B","10.26%"
"03/16/2021","1.2493","1.0306","1.2632","1.0018","1.77B","21.18%"
"03/15/2021","1.0310","1.0552","1.0703","1.0011","657.33M","-2.29%"
"03/14/2021","1.0551","1.1013","1.1019","1.0551","553.68M","-4.19%"
"03/13/2021","1.1013","1.0321","1.1880","0.9881","977.08M","6.71%"
"03/12/2021","1.0321","1.1243","1.1270","1.0298","642.18M","-8.19%"
"03/11/2021","1.1242","1.1334","1.1390","1.1089","477.61M","-0.79%"
"03/10/2021","1.1331","1.1971","1.2069","1.1180","626.55M","-5.35%"
"03/09/2021","1.1972","1.1185","1.2184","1.1126","898.49M","7.04%"
"03/08/2021","1.1185","1.1314","1.1780","1.1067","625.53M","-1.19%"
"03/07/2021","1.1319","1.1294","1.1444","1.1070","445.10M","0.25%"
"03/06/2021","1.1290","1.1583","1.1816","1.0867","757.08M","-2.52%"
"03/05/2021","1.1582","1.1125","1.1957","1.0379","1.31B","4.11%"
"03/04/2021","1.1125","1.2144","1.2299","1.0684","1.10B","-8.39%"
"03/03/2021","1.2143","1.2245","1.2655","1.2090","707.02M","-0.84%"
"03/02/2021","1.2246","1.2962","1.2990","1.1823","1.10B","-5.52%"
"03/01/2021","1.2962","1.3118","1.3441","1.2331","1.61B","-0.88%"
"02/28/2021","1.3077","1.3166","1.3585","1.1586","2.49B","-0.68%"
"02/27/2021","1.3166","1.2416","1.4841","1.2305","3.07B","6.04%"
"02/26/2021","1.2416","1.0751","1.2950","0.9930","2.73B","15.48%"
"02/25/2021","1.0752","1.0486","1.1733","1.0128","1.56B","2.58%"
"02/24/2021","1.0481","0.9638","1.0751","0.8996","1.67B","8.73%"
"02/23/2021","0.9640","1.0973","1.1405","0.8115","2.65B","-12.12%"
"02/22/2021","1.0969","1.0998","1.1445","0.8389","2.03B","-0.27%"
"02/21/2021","1.0998","1.1156","1.1497","1.0750","1.18B","-1.46%"
"02/20/2021","1.1161","0.9260","1.1971","0.9142","279.64M","20.55%"
"02/19/2021","0.9259","0.9137","0.9454","0.8808","839.10M","1.33%"
"02/18/2021","0.9138","0.8917","0.9566","0.8917","904.68M","2.47%"
"02/17/2021","0.8917","0.8704","0.8971","0.8239","750.02M","2.45%"
"02/16/2021","0.8704","0.8599","0.9051","0.8348","929.87M","1.19%"
"02/15/2021","0.8602","0.8444","0.9104","0.6891","1.44B","1.87%"
"02/14/2021","0.8444","0.9124","0.9187","0.8082","874.61M","-7.32%"
"02/13/2021","0.9111","0.9248","0.9500","0.8251","993.01M","-1.48%"
"02/12/2021","0.9249","0.9293","0.9474","0.8680","1.08B","-0.48%"
"02/11/2021","0.9293","0.9404","0.9791","0.8668","1.77B","-1.18%"
"02/10/2021","0.9404","0.7058","0.9496","0.7058","2.50B","33.23%"
"02/09/2021","0.7058","0.6778","0.7119","0.6660","1.12B","4.20%"
"02/08/2021","0.6774","0.6626","0.7227","0.6339","2.06B","2.24%"
"02/07/2021","0.6626","0.6339","0.7067","0.5858","2.60B","4.53%"
"02/06/2021","0.6339","0.5387","0.6658","0.5209","2.08B","17.52%"
"02/05/2021","0.5393","0.4395","0.5594","0.4366","2.00B","22.71%"
"02/04/2021","0.4395","0.4419","0.4496","0.4109","736.38M","-0.53%"
"02/03/2021","0.4419","0.4258","0.4484","0.4154","1.10B","3.78%"
"02/02/2021","0.4258","0.4084","0.4552","0.3891","2.25B","4.27%"
"02/01/2021","0.4083","0.3451","0.4230","0.3334","1.32B","18.35%"
"01/31/2021","0.3450","0.3636","0.3766","0.3382","662.74M","-5.12%"
"01/30/2021","0.3636","0.3474","0.3755","0.3373","871.81M","4.61%"
"01/29/2021","0.3476","0.3438","0.3679","0.3310","1.07B","1.12%"
"01/28/2021","0.3437","0.3119","0.3552","0.3046","833.04M","10.19%"
"01/27/2021","0.3120","0.3435","0.3438","0.3047","761.35M","-9.19%"
"01/26/2021","0.3435","0.3431","0.3506","0.3247","627.44M","0.13%"
"01/25/2021","0.3431","0.3531","0.3639","0.3407","752.02M","-2.85%"
"01/24/2021","0.3532","0.3457","0.3688","0.3374","802.72M","2.20%"
"01/23/2021","0.3456","0.3491","0.3575","0.3361","897.55M","-1.23%"
"01/22/2021","0.3499","0.3078","0.3596","0.2810","1.53B","13.69%"
"01/21/2021","0.3077","0.3755","0.3786","0.3000","1.29B","-18.05%"
"01/20/2021","0.3755","0.3678","0.3765","0.3311","1.11B","2.10%"
"01/19/2021","0.3678","0.3710","0.3847","0.3628","984.20M","-0.87%"
"01/18/2021","0.3710","0.3813","0.3967","0.3648","1.24B","-2.70%"
"01/17/2021","0.3813","0.3505","0.3971","0.3416","2.25B","8.56%"
"01/16/2021","0.3512","0.3025","0.3667","0.3023","1.95B","16.10%"
"01/15/2021","0.3025","0.3126","0.3310","0.2788","1.36B","-2.74%"
"01/14/2021","0.3110","0.3127","0.3241","0.2986","","-0.55%"
"01/13/2021","0.3127","0.2887","0.3154","0.2713","1.17B","8.74%"
"01/12/2021","0.2876","0.2759","0.3139","0.2641","1.87B","4.24%"
"01/11/2021","0.2759","0.3017","0.3035","0.2303","2.02B","-8.74%"
"01/10/2021","0.3023","0.3302","0.3405","0.2801","1.43B","-8.43%"
"01/09/2021","0.3302","0.3039","0.3382","0.2962","1.34B","8.62%"
"01/08/2021","0.3040","0.2980","0.3213","0.2647","2.23B","1.98%"
"01/07/2021","0.2980","0.3328","0.3535","0.2800","2.42B","-10.44%"
"01/06/2021","0.3328","0.2589","0.3470","0.2541","3.05B","28.66%"
"01/05/2021","0.2586","0.2258","0.2639","0.2072","2.21B","14.52%"
"01/04/2021","0.2258","0.2057","0.2396","0.1927","2.23B","9.82%"
"01/03/2021","0.2057","0.1773","0.2096","0.1729","1.39B","15.97%"
"01/02/2021","0.1773","0.1751","0.1845","0.1686","980.36M","1.31%"
"01/01/2021","0.1750","0.1814","0.1846","0.1702","770.70M","-3.49%"
"12/31/2020","0.1814","0.1840","0.1862","0.1758","731.46M","-1.44%"
"12/30/2020","0.1840","0.1910","0.1932","0.1753","1.18B","-3.64%"
"12/29/2020","0.1910","0.1764","0.1966","0.1736","2.11B","8.26%"
"12/28/2020","0.1764","0.1546","0.1801","0.1530","1.29B","14.09%"
"12/27/2020","0.1546","0.1583","0.1661","0.1496","1.18B","-2.33%"
"12/26/2020","0.1583","0.1575","0.1624","0.1492","913.69M","0.51%"
"12/25/2020","0.1575","0.1530","0.1669","0.1503","983.16M","2.96%"
"12/24/2020","0.1530","0.1365","0.1545","0.1318","1.09B","12.07%"
"12/23/2020","0.1365","0.1566","0.1578","0.1264","1.20B","-12.86%"
"12/22/2020","0.1567","0.1527","0.1610","0.1491","777.26M","2.59%"
"12/21/2020","0.1527","0.1620","0.1661","0.1479","700.21M","-5.74%"
"12/20/2020","0.1620","0.1643","0.1689","0.1579","571.96M","-1.40%"
"12/19/2020","0.1643","0.1650","0.1705","0.1630","570.48M","-0.44%"
"12/18/2020","0.1650","0.1634","0.1694","0.1587","705.00M","0.98%"
"12/17/2020","0.1634","0.1682","0.1760","0.1608","1.11B","-2.84%"
"12/16/2020","0.1682","0.1538","0.1683","0.1492","756.99M","9.35%"
"12/15/2020","0.1538","0.1582","0.1600","0.1529","439.64M","-2.84%"
"12/14/2020","0.1583","0.1541","0.1584","0.1496","363.18M","2.77%"
"12/13/2020","0.1540","0.1443","0.1566","0.1430","525.60M","6.79%"
"12/12/2020","0.1443","0.1392","0.1472","0.1391","411.01M","3.62%"
"12/11/2020","0.1392","0.1417","0.1428","0.1349","505.09M","-1.73%"
"12/10/2020","0.1417","0.1480","0.1486","0.1396","489.74M","-4.26%"
"12/09/2020","0.1480","0.1413","0.1501","0.1300","853.86M","4.75%"
"12/08/2020","0.1413","0.1540","0.1549","0.1383","687.63M","-8.30%"
"12/07/2020","0.1540","0.1587","0.1589","0.1515","413.79M","-2.91%"
"12/06/2020","0.1587","0.1599","0.1626","0.1532","494.18M","-0.79%"
"12/05/2020","0.1599","0.1478","0.1618","0.1462","614.13M","8.19%"
"12/04/2020","0.1478","0.1641","0.1645","0.1464","750.34M","-9.92%"
"12/03/2020","0.1641","0.1587","0.1682","0.1557","705.56M","3.44%"
"12/02/2020","0.1587","0.1557","0.1597","0.1509","811.58M","2.00%"
"12/01/2020","0.1555","0.1721","0.1743","0.1438","1.66B","-9.61%"
"11/30/2020","0.1721","0.1665","0.1736","0.1601","1.46B","3.36%"
"11/29/2020","0.1665","0.1649","0.1710","0.1574","1.43B","0.94%"
"11/28/2020","0.1649","0.1415","0.1720","0.1391","1.77B","16.59%"
"11/27/2020","0.1415","0.1385","0.1452","0.1308","1.22B","2.14%"
"11/26/2020","0.1385","0.1552","0.1603","0.1207","2.26B","-10.78%"
"11/25/2020","0.1552","0.1670","0.1753","0.1476","1.62B","-7.05%"
"11/24/2020","0.1670","0.1693","0.1826","0.1519","2.53B","8.06%"
"11/23/2020","0.1545","0.1457","0.1589","0.1414","2.05B","6.10%"
"11/22/2020","0.1457","0.1335","0.1533","0.1201","2.69B","9.07%"
"11/21/2020","0.1335","0.1184","0.1346","0.1164","1.50B","12.84%"
"11/20/2020","0.1183","0.1059","0.1189","0.1056","720.77M","11.77%"
"11/19/2020","0.1059","0.1065","0.1081","0.1045","449.27M","-0.61%"
"11/18/2020","0.1065","0.1095","0.1115","0.1023","692.60M","-2.72%"
"11/17/2020","0.1095","0.1039","0.1122","0.1036","662.41M","5.42%"
"11/16/2020","0.1039","0.1006","0.1049","0.0995","342.83M","3.29%"
"11/15/2020","0.1006","0.1041","0.1053","0.0986","380.82M","-3.35%"
"11/14/2020","0.1041","0.1063","0.1072","0.1015","545.70M","-2.14%"
"11/13/2020","0.1063","0.1046","0.1080","0.1041","424.38M","1.70%"
"11/12/2020","0.1046","0.1060","0.1066","0.1026","386.56M","-1.35%"
"11/11/2020","0.1060","0.1060","0.1088","0.1055","424.73M","0.00%"
"11/10/2020","0.1060","0.1053","0.1091","0.1038","485.03M","0.61%"
"11/09/2020","0.1053","0.1066","0.1080","0.1014","563.63M","-1.16%"
"11/08/2020","0.1066","0.1013","0.1083","0.1000","503.32M","5.21%"
"11/07/2020","0.1013","0.1091","0.1137","0.0991","1.08B","-7.08%"
"11/06/2020","0.1090","0.0975","0.1100","0.0971","756.24M","11.77%"
"11/05/2020","0.0975","0.0954","0.0980","0.0921","545.76M","2.20%"
"11/04/2020","0.0954","0.0936","0.0962","0.0917","504.11M","1.95%"
"11/03/2020","0.0936","0.0923","0.0940","0.0882","463.60M","1.46%"
"11/02/2020","0.0923","0.0981","0.1000","0.0916","479.67M","-5.95%"
"11/01/2020","0.0981","0.0930","0.0986","0.0926","68.03M","5.51%"
"10/31/2020","0.0930","0.0933","0.0954","0.0921","402.66M","-0.36%"
"10/30/2020","0.0933","0.0954","0.0956","0.0897","573.50M","-2.21%"
"10/29/2020","0.0954","0.0987","0.1007","0.0949","519.80M","-3.41%"
"10/28/2020","0.0988","0.1026","0.1033","0.0954","559.72M","-3.74%"
"10/27/2020","0.1026","0.1031","0.1056","0.1019","399.49M","-0.43%"
"10/26/2020","0.1031","0.1064","0.1075","0.0991","455.16M","-3.10%"
"10/25/2020","0.1064","0.1080","0.1087","0.1061","260.65M","-1.52%"
"10/24/2020","0.1080","0.1081","0.1098","0.1073","328.29M","-0.07%"
"10/23/2020","0.1081","0.1108","0.1120","0.1054","385.50M","-2.44%"
"10/22/2020","0.1108","0.1059","0.1127","0.1052","517.21M","4.47%"
"10/21/2020","0.1060","0.1023","0.1085","0.1014","582.73M","3.69%"
"10/20/2020","0.1023","0.1086","0.1088","0.1009","635.03M","-5.93%"
"10/19/2020","0.1087","0.1073","0.1110","0.1061","402.60M","1.27%"
"10/18/2020","0.1073","0.1059","0.1076","0.1051","253.57M","1.28%"
"10/17/2020","0.1060","0.1041","0.1072","0.1032","347.45M","1.90%"
"10/16/2020","0.1040","0.1066","0.1073","0.1023","73.15M","-2.49%"
"10/15/2020","0.1067","0.1071","0.1076","0.1046","449.88M","-0.38%"
"10/14/2020","0.1071","0.1093","0.1123","0.1053","675.41M","-2.08%"
"10/13/2020","0.1093","0.1095","0.1142","0.1077","864.29M","-0.17%"
"10/12/2020","0.1095","0.1065","0.1134","0.1023","817.34M","2.86%"
"10/11/2020","0.1065","0.1050","0.1090","0.1042","636.86M","1.44%"
"10/10/2020","0.1050","0.1013","0.1111","0.1013","1.01B","3.60%"
"10/09/2020","0.1013","0.0962","0.1025","0.0949","610.83M","5.34%"
"10/08/2020","0.0962","0.0937","0.0971","0.0900","522.49M","2.61%"
"10/07/2020","0.0937","0.0929","0.0944","0.0895","415.84M","0.89%"
"10/06/2020","0.0929","0.0975","0.0986","0.0915","563.64M","-4.67%"
"10/05/2020","0.0975","0.0968","0.0994","0.0959","506.97M","0.67%"
"10/04/2020","0.0968","0.0933","0.0980","0.0921","403.64M","3.79%"
"10/03/2020","0.0933","0.0928","0.0952","0.0922","373.34M","0.53%"
"10/02/2020","0.0928","0.0980","0.1002","0.0899","794.85M","-5.33%"
"10/01/2020","0.0980","0.1013","0.1045","0.0951","633.98M","-3.29%"
"09/30/2020","0.1013","0.1011","0.1016","0.0968","519.54M","0.26%"
"09/29/2020","0.1011","0.1004","0.1035","0.0975","627.55M","0.65%"
"09/28/2020","0.1004","0.1013","0.1066","0.1001","788.73M","-0.85%"
"09/27/2020","0.1013","0.0955","0.1024","0.0943","716.50M","6.11%"
"09/26/2020","0.0955","0.0969","0.0997","0.0924","678.24M","-1.49%"
"09/25/2020","0.0969","0.0825","0.0985","0.0824","1.17B","17.40%"
"09/24/2020","0.0825","0.0766","0.0837","0.0756","641.68M","7.77%"
"09/23/2020","0.0766","0.0815","0.0828","0.0756","493.21M","-5.98%"
"09/22/2020","0.0815","0.0797","0.0833","0.0793","527.85M","2.22%"
"09/21/2020","0.0797","0.0893","0.0901","0.0775","806.98M","-10.76%"
"09/20/2020","0.0893","0.0914","0.0922","0.0876","385.33M","-2.31%"
"09/19/2020","0.0914","0.0910","0.0931","0.0905","342.09M","0.38%"
"09/18/2020","0.0911","0.0941","0.0941","0.0897","234.73M","-3.19%"
"09/17/2020","0.0941","0.0914","0.0946","0.0908","539.47M","2.93%"
"09/16/2020","0.0914","0.0931","0.0933","0.0897","637.88M","-1.83%"
"09/15/2020","0.0931","0.0966","0.0979","0.0929","549.79M","-3.65%"
"09/14/2020","0.0966","0.0950","0.0980","0.0931","552.29M","1.69%"
"09/13/2020","0.0950","0.0977","0.0997","0.0926","452.10M","-2.70%"
"09/12/2020","0.0977","0.0969","0.0984","0.0945","349.31M","0.75%"
"09/11/2020","0.0969","0.0970","0.0975","0.0931","456.90M","-0.08%"
"09/10/2020","0.0970","0.0933","0.0994","0.0933","579.55M","3.95%"
"09/09/2020","0.0933","0.0910","0.0957","0.0893","459.46M","2.53%"
"09/08/2020","0.0910","0.0936","0.0969","0.0885","725.15M","-2.73%"
"09/07/2020","0.0936","0.0926","0.0941","0.0863","689.52M","1.05%"
"09/06/2020","0.0926","0.0900","0.0956","0.0856","713.37M","2.92%"
"09/05/2020","0.0900","0.1017","0.1039","0.0862","989.94M","-11.51%"
"09/04/2020","0.1017","0.0948","0.1039","0.0928","1.24B","7.26%"
"09/03/2020","0.0948","0.1149","0.1169","0.0928","982.10M","-17.54%"
"09/02/2020","0.1149","0.1245","0.1264","0.1110","692.55M","-7.69%"
"09/01/2020","0.1245","0.1225","0.1280","0.1191","647.01M","1.68%"
"08/31/2020","0.1225","0.1175","0.1266","0.1131","805.51M","4.22%"
"08/30/2020","0.1175","0.1162","0.1187","0.1137","438.73M","1.07%"
"08/29/2020","0.1163","0.1093","0.1178","0.1082","430.43M","6.37%"
"08/28/2020","0.1093","0.1072","0.1113","0.1061","498.13M","1.97%"
